objectid,Geographic ID,State FIPS,County FIPS,Census Tract,Total Population,Total Population for Income,Total Civilian Population,Total Households,Total Families,Total Over 5 Population,Total Over 75 Population,People of Color Population,Single-Parent Family Population,Limited English Proficiency Population,Low-Income Population,Disabled Population,Rent-Burdened Population,Zero-Vehicle Household Population,Percent Over 75,Percent People of Color,Percent Single-Parent Family,Percent Limited English Proficiency,Percent Low-Income,Percent Disabled,Percent Rent-Burdened,Percent Zero-Vehicle Household,Over 75 Reg Mean Plus Half SD,People of Color Reg Mean Plus Half SD,Single-Parent Family Reg Mean Plus Half SD,Limited English Proficiency Reg Mean Plus Half SD,Low-Income Reg Mean Plus Half SD,Disabled Reg Mean Plus Half SD,Rent-Burdened Reg Mean Plus Half SD,Zero-Vehicle Household Reg Mean Plus Half SD,PBA 2035 Equity Priority Community,PBA 2040 Equity Priority Community,PBA 2050 Equity Priority Community,Change PBA 2040 to 2050,Equity Priority Community Class,Shape__Area,Shape__Length
1601,06001401000,06,001,401000,6024,6016,6016,2439,1159,5790,238,4118,366,214,1780,916,548,645,0.0395086321381142,0.683598937583001,0.315789473684211,0.0369602763385147,0.295877659574468,0.152260638297872,0.224682246822468,0.264452644526445,0,0,1,0,1,1,1,1,1,1,1,0,High,0.000117058576051932,0.0449449218371492
1604,06001401300,06,001,401300,3855,3563,3563,1804,457,3768,286,2379,78,343,1666,605,330,601,0.074189364461738,0.617120622568093,0.170678336980306,0.0910297239915074,0.467583497053045,0.169800729722144,0.182926829268293,0.333148558758315,0,0,0,0,1,1,1,1,1,1,1,0,Higher,8.81639157341851E-05,0.0410211410370874
1605,06001401400,06,001,401400,4331,4331,4331,1576,623,4229,223,3296,79,451,2541,906,443,429,0.0514892634495498,0.76102516739783,0.126805778491172,0.106644596831402,0.586700531055184,0.209189563611175,0.281091370558376,0.272208121827411,0,1,0,0,1,1,1,1,1,1,1,0,Highest,7.72027592574887E-05,0.0391137690335552
1606,06001401500,06,001,401500,2663,2663,2663,1080,432,2579,83,1593,117,119,1143,555,212,347,0.0311678558017274,0.598197521592189,0.270833333333333,0.0461419154711128,0.429215170859932,0.208411565903117,0.196296296296296,0.321296296296296,0,0,1,0,1,1,1,1,1,1,1,0,Highest,4.7878894747555E-05,0.0298232473718209
1607,06001401600,06,001,401600,2269,2269,2269,868,341,2166,43,1540,137,228,989,388,208,157,0.0189510797708242,0.678713089466725,0.401759530791789,0.105263157894737,0.435874834728955,0.171000440722785,0.23963133640553,0.180875576036866,0,0,1,0,1,1,1,1,1,1,1,0,Higher,6.4760880832182E-05,0.03832162165243
1609,06001401800,06,001,401800,1794,1794,1794,712,307,1701,104,1209,89,69,777,200,107,253,0.0579710144927536,0.673913043478261,0.289902280130293,0.0405643738977072,0.433110367892977,0.111482720178372,0.150280898876405,0.355337078651685,0,0,1,0,1,0,1,1,1,1,1,0,High,3.03115334645554E-05,0.023027449413233
1610,06001402200,06,001,402200,2527,2515,2527,855,454,2409,127,1855,112,310,1275,305,149,179,0.0502572220023744,0.734072022160665,0.246696035242291,0.128684101286841,0.506958250497018,0.120696478037198,0.174269005847953,0.209356725146199,0,1,1,1,1,1,1,1,1,1,1,0,High,7.09554178683902E-05,0.0543153377634228
1611,06001402400,06,001,402400,2787,2768,2768,1209,506,2635,173,2200,169,189,1069,459,273,362,0.0620739146035163,0.789379260853965,0.33399209486166,0.0717267552182163,0.386199421965318,0.165823699421965,0.225806451612903,0.299421009098428,0,1,1,0,1,1,1,1,1,1,1,0,Higher,3.45402017956076E-05,0.0239457234970118
1612,06001402500,06,001,402500,1786,1786,1786,708,384,1524,10,1629,231,33,1140,335,139,382,0.00559910414333707,0.912094064949608,0.6015625,0.0216535433070866,0.638297872340426,0.187569988801792,0.196327683615819,0.53954802259887,0,1,1,0,1,1,1,1,1,1,1,0,Highest,3.76166922251286E-05,0.0251990692784974
1613,06001402600,06,001,402600,1196,1196,1196,618,251,1153,147,1013,34,397,822,287,147,264,0.122909698996656,0.846989966555184,0.135458167330677,0.344319167389419,0.687290969899666,0.239966555183946,0.237864077669903,0.427184466019417,1,1,0,1,1,1,1,1,1,1,1,0,Highest,3.27320385622443E-05,0.0233536663190042
