NAME,GEO_ID,B08302_001E,B08302_001M,B08302_002E,B08302_002M,B08302_003E,B08302_003M,B08302_004E,B08302_004M,B08302_005E,B08302_005M,B08302_006E,B08302_006M,B08302_007E,B08302_007M,B08302_008E,B08302_008M,B08302_009E,B08302_009M,B08302_010E,B08302_010M,B08302_011E,B08302_011M,B08302_012E,B08302_012M,B08302_013E,B08302_013M,B08302_014E,B08302_014M,B08302_015E,B08302_015M,state,county,tract
Census Tract 4001; Alameda County; California,1400000US06001400100,918.0,192.0,26.0,23.0,13.0,21.0,0.0,14.0,47.0,30.0,38.0,32.0,88.0,51.0,101.0,55.0,224.0,75.0,119.0,61.0,156.0,93.0,8.0,13.0,53.0,70.0,35.0,32.0,10.0,15.0,06,001,400100
Census Tract 4002; Alameda County; California,1400000US06001400200,572.0,100.0,6.0,9.0,0.0,14.0,8.0,13.0,54.0,30.0,10.0,14.0,42.0,27.0,95.0,47.0,128.0,43.0,67.0,34.0,117.0,52.0,34.0,28.0,10.0,11.0,1.0,7.0,0.0,14.0,06,001,400200
Census Tract 4003; Alameda County; California,1400000US06001400300,2259.0,305.0,59.0,43.0,0.0,19.0,46.0,53.0,35.0,39.0,169.0,118.0,144.0,83.0,373.0,137.0,446.0,164.0,481.0,198.0,309.0,171.0,41.0,64.0,33.0,41.0,123.0,114.0,0.0,19.0,06,001,400300
Census Tract 4004; Alameda County; California,1400000US06001400400,1420.0,277.0,17.0,19.0,21.0,29.0,0.0,14.0,18.0,21.0,56.0,53.0,88.0,51.0,196.0,98.0,364.0,119.0,149.0,91.0,310.0,119.0,68.0,45.0,17.0,28.0,33.0,33.0,83.0,55.0,06,001,400400
Census Tract 4005; Alameda County; California,1400000US06001400500,1372.0,266.0,49.0,42.0,61.0,42.0,8.0,14.0,51.0,56.0,98.0,74.0,148.0,84.0,104.0,51.0,324.0,124.0,120.0,68.0,276.0,102.0,30.0,31.0,0.0,14.0,64.0,71.0,39.0,58.0,06,001,400500
Census Tract 4006; Alameda County; California,1400000US06001400600,829.0,176.0,7.0,12.0,19.0,25.0,0.0,14.0,0.0,14.0,23.0,27.0,32.0,21.0,97.0,54.0,243.0,136.0,179.0,79.0,74.0,41.0,40.0,34.0,26.0,32.0,30.0,32.0,59.0,45.0,06,001,400600
Census Tract 4007; Alameda County; California,1400000US06001400700,1811.0,425.0,15.0,24.0,11.0,18.0,159.0,196.0,32.0,30.0,79.0,57.0,189.0,114.0,271.0,105.0,221.0,132.0,147.0,88.0,254.0,118.0,260.0,168.0,59.0,55.0,47.0,40.0,67.0,47.0,06,001,400700
Census Tract 4008; Alameda County; California,1400000US06001400800,2173.0,426.0,289.0,142.0,7.0,12.0,0.0,14.0,33.0,45.0,36.0,29.0,143.0,86.0,273.0,138.0,328.0,130.0,170.0,72.0,234.0,117.0,288.0,211.0,39.0,43.0,282.0,198.0,51.0,44.0,06,001,400800
Census Tract 4009; Alameda County; California,1400000US06001400900,1392.0,340.0,46.0,60.0,55.0,52.0,0.0,14.0,9.0,15.0,84.0,58.0,54.0,50.0,158.0,90.0,226.0,115.0,185.0,107.0,186.0,93.0,94.0,82.0,10.0,16.0,239.0,114.0,46.0,43.0,06,001,400900
Census Tract 4010; Alameda County; California,1400000US06001401000,2464.0,575.0,375.0,378.0,21.0,25.0,125.0,122.0,78.0,66.0,136.0,100.0,118.0,81.0,322.0,143.0,237.0,117.0,396.0,214.0,178.0,113.0,72.0,63.0,30.0,24.0,376.0,194.0,0.0,19.0,06,001,401000
Census Tract 4011; Alameda County; California,1400000US06001401100,2860.0,402.0,84.0,72.0,103.0,71.0,38.0,44.0,66.0,67.0,192.0,162.0,318.0,141.0,419.0,173.0,747.0,311.0,359.0,155.0,375.0,153.0,41.0,49.0,43.0,51.0,37.0,32.0,38.0,38.0,06,001,401100
